ID,Target_Form_ID,Source_Form_ID,Comment,Source,Loanset_ID
L1-1,chuukese-atreeixoracarolensis-1,,,mcd2,
L1-2,mortlockese-atreeixoracarolensis-1,,,mcd2,
L1-3,satawalese-atreeixoracarolensis-1,,,mcd2,
L1-4,woleaian-akindoftreeixoracasei-1,,,mcd2,
L1-5,pohnpeian-spoftreeixoracasei-1,,,mcd2,
L1-6,pingilapese-atreeixoracarolensis-1,,,mcd2,
L1-7,marshallese-atreeixoracarolinensis-1,,,mcd2,
L1-8,kosraean-akindofplant-2,,,mcd2,
L2-1,chuukese-atreemesserschmidiaargentea-1,,,mcd2,
L2-2,puluwatese-treeheliotropemesserschmidiaargentea-1,,,mcd2,
L2-3,saipancarolinian-spoftalltreefoundonsandybeaches-1,,,mcd2,
L2-4,saipancaroliniant-spoftalltreefoundonsandybeaches-1,,,mcd2,
L3-1,chuukese-atreecordiasubcordata-2,,,mcd2,
L3-2,puluwatese-atreecordiasubcordata-2,,,mcd2,
L3-3,puluwatese-treeof-1,,,mcd2,
L3-4,saipancarolinian-atreecordiasubcordata-1,,,mcd2,
L3-5,saipancaroliniant-atreecordiasubcordata-1,,,mcd2,
L3-6,woleaian-atreecordiasubcordata-1,,,mcd2,
L4-1,chuukese-atreecrataevasp-1,,,mcd2,
L4-2,mortlockese-atreecrataevasp-1,,,mcd2,
L4-3,puluwatese-atreecrataevasp-1,,,mcd2,
L4-4,saipancarolinian-atreecrataevasp-1,,,mcd2,
L4-5,saipancaroliniant-atreecrataevasp-1,,,mcd2,
L4-6,satawalese-atreecrataevasp-1,,,mcd2,
L4-7,woleaian-atreecrataevasp-1,,,mcd2,
L5-1,chuukese-abutilonshrub-1,,,mcd2,
L5-2,mortlockese-pipturusargentus-1,,,mcd2,
L5-3,puluwatese-atree-1,,,mcd2,
L5-4,satawalese-pipturusargentus-1,,,mcd2,
L5-5,woleaian-pipturustree-1,,,mcd2,
L5-6,protochuukic-abutilonshrub-1,,,mcd2,
L5-7,mokilese-treesp-4,,,mcd2,
L5-8,pingilapese-pipturusargentus-1,,,mcd2,
L5-9,marshallese-pipturusargenteustree-1,,,mcd2,
L6-1,chuukese-cathousecat-1,,,mcd2,
L6-2,puluwatese-cathousecat-1,,,mcd2,
L6-3,saipancarolinian-cathousecat-1,,,mcd2,
L6-4,saipancaroliniant-cathousecat-1,,,mcd2,
L6-5,satawalese-cathousecat-1,,,mcd2,
L6-6,woleaian-cathousecat-1,,,mcd2,
L7-1,chuukese-fan-2,,,mcd2,
L7-2,chuukese-fanhimbeckontoher-1,,,mcd2,
L7-3,puluwatese-tofan-1,,,mcd2,
L7-4,saipancarolinian-afan-1,,,mcd2,
L7-5,saipancarolinian-tofansomeone-1,,,mcd2,
L7-6,saipancaroliniant-ahandfan-1,,,mcd2,
L7-7,woleaian-fantowave-1,,,mcd2,
L7-8,woleaian-fanhim-1,,,mcd2,
L8-1,chuukese-shuttleofloom-1,,,mcd2,
L8-2,chuukese-shuttleof-1,,,mcd2,
L8-3,woleaian-shuttleofloom-1,,,mcd2,
L8-4,puloannan-shuttleofloom-1,,,mcd2,
L9-1,chuukese-yam-1,,,mcd2,
L9-2,chuukese-yamof-1,,,mcd2,
L9-3,puluwatese-yam-1,,,mcd2,
L9-4,woleaian-yam-1,,,mcd2,
L10-1,chuukese-atreepittosporumsp-2,,,mcd2,
L10-2,puluwatese-pittosporumtree-1,,,mcd2,
L10-3,puluwatese-treeof-2,,,mcd2,
L11-1,chuukese-whirlwindwaterspoutnameofastormgod-1,,,mcd2,
L11-2,mortlockese-whirlwindtornadorainbow-1,,,mcd2,
L11-3,puluwatese-waterspoutwhirlwind-1,,,mcd2,
L11-4,puluwatese-waterspoutof-1,,,mcd2,
L11-5,saipancarolinian-tornadowhirlwindwaterspout-1,,,mcd2,
L11-6,satawalese-tornado-1,,,mcd2,
L11-7,woleaian-rainbow-1,,,mcd2,
L11-8,pohnpeian-whirlwindgustofwindcontainingrain-1,,,mcd2,
L11-9,yapese-tornadowaterspout-1,,,mcd2,
L12-1,chuukese-nameoffaisislandwesterncarolines-1,,,mcd2,
L12-2,puluwatese-nameoffaisislandwesterncarolines-1,,,mcd2,
L12-3,woleaian-nameoffaisislandwesterncarolines-1,,,mcd2,
L13-1,chuukese-nameofgaferutislandwestfayuinthecentralcarolines-1,,,mcd2,
L13-2,puluwatese-nameofgaferutislandwestfayu-1,,,mcd2,
L13-3,saipancarolinian-nameofgaferutislandwestfayu-1,,,mcd2,
L13-4,woleaian-nameofaplaceinwoleai-1,,,mcd2,
L14-1,chuukese-nameofyapislands-1,,,mcd2,
L14-2,puluwatese-nameofyapislands-1,,,mcd2,
L14-3,saipancarolinian-nameofyapislands-1,,,mcd2,
L14-4,woleaian-nameofyapislands-1,,,mcd2,
L14-5,ulithian-nameofyapislands-1,,,mcd2,
L14-6,pohnpeian-nameofyapislands-1,,,mcd2,
L14-7,marshallese-nameofyapislands-1,,,mcd2,
L14-8,kosraean-nameofyapislands-1,,,mcd2,
L15-1,chuukese-largemulticoloredlizard-1,,,mcd2,
L15-2,chuukese-lizardof-2,,,mcd2,
L15-3,mortlockese-lizard-1,,,mcd2,
L15-4,puluwatese-giantlizard-1,,,mcd2,
L15-5,saipancarolinian-ablackandgreenforestlizardgecko-1,,,mcd2,
L15-6,satawalese-lizard-1,,,mcd2,
L15-7,woleaian-kindoflizard-2,,,mcd2,
L15-8,puloannan-lizard-1,,,mcd2,
L15-9,yapese-monitorlizard-1,,,mcd2,
L15-10,palauan-indianmonitorlizard-1,,,mcd2,
L16-1,chuukese-houseonleeplatformofsailingcanoe-1,,,mcd2,
L16-2,puluwatese-pandanusthatchhousethatfitsonleesideofsailingcanoe-1,,,mcd2,
L16-3,satawalese-hutondeepwatersailingcanoe-1,,,mcd2,
L16-4,woleaian-shelteredareaonacanoe-1,,,mcd2,
L17-1,chuukese-papayatreeandfruit-1,,,mcd2,
L17-2,chuukese-papayaof-1,,,mcd2,
L17-3,mortlockese-papayatreeandfruit-1,,,mcd2,
L17-4,puluwatese-papayatreeandfruit-1,,,mcd2,
L17-5,saipancarolinian-papayatreeandfruit-1,,,mcd2,
L17-6,satawalese-papayatreeandfruit-1,,,mcd2,
L17-7,woleaian-papayatreeandfruit-1,,,mcd2,
L18-1,chuukese-sweetpotato-1,,,mcd2,
L18-2,chuukese-sweetpotato-2,,,mcd2,
L18-3,chuukese-sweetpotato-3,,,mcd2,
L18-4,chuukese-sweetpotato-4,,,mcd2,
L18-5,chuukese-sweetpotatoof-1,,,mcd2,
L18-6,mortlockese-sweetpotato-1,,,mcd2,
L18-7,puluwatese-sweetpotato-1,,,mcd2,
L18-8,saipancarolinian-sweetpotato-1,,,mcd2,
L18-9,satawalese-sweetpotato-1,,,mcd2,
L18-10,woleaian-sweetpotato-1,,,mcd2,
L18-11,yapese-sweetpotato-1,,,mcd2,
L19-1,chuukese-dog-1,,,mcd2,
L19-2,puluwatese-dog-1,,,mcd2,
L19-3,saipancarolinian-dog-1,,,mcd2,
L19-4,saipancaroliniant-dog-1,,,mcd2,
L19-5,woleaian-dog-1,,,mcd2,
L20-1,chuukese-marchmarchingadancewithamarchingstepandmovesbasedoncloseordermilitarydrill-1,,,mcd2,
L20-2,chuukese-marchof-1,,,mcd2,
L20-3,puluwatese-amarchingdance-1,,,mcd2,
L20-4,puluwatese-danceof-1,,,mcd2,
L20-5,saipancarolinian-mensmarchingdance-1,,,mcd2,
L20-6,woleaian-akindofdance-1,,,mcd2,
L20-7,yapese-marchingdance-1,,,mcd2,
L20-8,marshallese-tomarchparade-1,,,mcd2,
L21-1,chuukese-cloth-1,,,mcd2,
L21-2,chuukese-clothof-1,,,mcd2,
L21-3,puluwatese-cloth-1,,,mcd2,
L21-4,saipancarolinian-cloth-1,,,mcd2,
L21-5,saipancaroliniant-cloth-1,,,mcd2,
L21-6,woleaian-cloth-1,,,mcd2,
L22-1,chuukese-yardorclearedgroundaroundahouseormeetinghouse-1,,,mcd2,
L22-2,gilbertese-playground-1,,,mcd2,
L23-1,chuukese-coverletcoversheet-1,,,mcd2,
L23-2,chuukese-coverletof-1,,,mcd2,
L23-3,woleaian-aceremonialwhitewovenskirtatypeoftributeconsistingofwovenskirts-1,,,mcd2,
L24-1,chuukese-arrowroottaccaleontopetaloides-2,,,mcd2,
L24-2,puluwatese-arrowroottaccaleontopetaloides-2,,,mcd2,
L24-3,saipancarolinian-arrowroottaccaleontopetaloides-1,,,mcd2,
L24-4,saipancaroliniant-arrowroottaccaleontopetaloides-1,,,mcd2,
L24-5,woleaian-arrowroottaccaleontopetaloides-2,,,mcd2,
L24-6,ulithian-arrowroottaccaleontopetaloides-1,,,mcd2,
L24-7,sonsorolese-arrowroottaccaleontopetaloides-1,,,mcd2,
L24-8,pohnpeian-arrowroottaccaleontopetaloides-2,,,mcd2,
L24-9,mokilese-arrowroottaccaleontopetaloides-2,,,mcd2,
L24-10,marshallese-arrowroottaccaleontopetaloides-2,,,mcd2,
L24-11,kosraean-arrowroottaccaleontopetaloides-1,,,mcd2,
L25-1,chuukese-pepperplant-1,,,mcd2,
L25-2,chuukese-hotpepper-1,,,mcd2,
L25-3,chuukese-pepperof-1,,,mcd2,
L25-4,puluwatese-chilipepperchilipepperof-1,,,mcd2,
L25-5,saipancarolinian-chilipepper-1,,,mcd2,
L25-6,saipancaroliniant-chilipepper-1,,,mcd2,
L25-7,woleaian-hotpepper-1,,,mcd2,
L25-8,woleaian-pepperof-1,,,mcd2,
L26-1,chuukese-secondfinestgradeofpandanusmat-1,,,mcd2,
L26-2,pohnpeian-mat-2,,,mcd2,
L27-1,chuukese-imagestatuedollpicturerepresentationimageof-1,,,mcd2,
L27-2,mortlockese-imagedoll-1,,,mcd2,
L27-3,puluwatese-statueimagedollweathercharm-1,,,mcd2,
L27-4,saipancarolinian-religiousimageorstatue-1,,,mcd2,
L27-5,saipancaroliniant-dollanystatue-1,,,mcd2,
L27-6,satawalese-doll-1,,,mcd2,
L27-7,woleaian-statuetoyshapeimage-1,,,mcd2,
L27-8,puloannan-doll-1,,,mcd2,
L27-9,mokilese-demon-1,,,mcd2,
L28-1,chuukese-nameoflamotrekislandandatollinthecentralcarolines-1,,,mcd2,
L28-2,puluwatese-nameoflamotrekislandandatollinthecentralcarolines-1,,,mcd2,
L28-3,saipancarolinian-nameoflamotrekislandandatollinthecentralcarolines-1,,,mcd2,
