ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
protomicronesian-himheritobjectpronoun-1-1,protomicronesian-himheritobjectpronoun-1,-a,2974,false,expert,,,,
chuukese-himherit-1-1,chuukese-himherit-1,-y,2974,false,expert,,,,
woleaian-himherit-1-1,woleaian-himherit-1,-ya,2974,false,expert,,,,
puloannan-himherit-1-1,puloannan-himherit-1,-a,2974,false,expert,,,,
protochuukic-himheritobjectpronoun-1-1,protochuukic-himheritobjectpronoun-1,-a,2974,false,expert,,,,
gilbertese-himherit-1-1,gilbertese-himherit-1,-a,2974,false,expert,,,,
protoeasternoceanic-himheritobjectpronoun-1-1,protoeasternoceanic-himheritobjectpronoun-1,-a,2974,false,expert,,,,
protokimbe-himheritobjectpronoun-1-1,protokimbe-himheritobjectpronoun-1,-a,2974,false,expert,,,,
protooceanic-himheritobjectpronoun-1-1,protooceanic-himheritobjectpronoun-1,-a,2974,false,expert,ross1988,,,
protomicronesian-realitymodemarkersuffixedtosubjectpronoun-1-1,protomicronesian-realitymodemarkersuffixedtosubjectpronoun-1,-a,2975,false,expert,,,,
chuukese-realitymodemarkersuffixedtosubjectpronoun-1-1,chuukese-realitymodemarkersuffixedtosubjectpronoun-1,-a,2975,false,expert,,,,
mortlockese-realitymodemarkersuffixedtosubjectpronoun-1-1,mortlockese-realitymodemarkersuffixedtosubjectpronoun-1,-a,2975,false,expert,,,,
puluwatese-realitymodemarkersuffixedtosubjectpronoun-1-1,puluwatese-realitymodemarkersuffixedtosubjectpronoun-1,-ya,2975,false,expert,,,,
saipancarolinian-realitymodemarkersuffixedtosubjectpronoun-1-1,saipancarolinian-realitymodemarkersuffixedtosubjectpronoun-1,-a,2975,false,expert,,,,
satawalese-realitymodemarkersuffixedtosubjectpronoun-1-1,satawalese-realitymodemarkersuffixedtosubjectpronoun-1,-a,2975,false,expert,,,,
