ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Abbr,Group,Source,Is_Proto
protochuukic,Proto-Chuukic,truk1243,Trukic,,,9.412054755000042,138.06812584700003,,PCk,Micronesian,jackson1983;marck1994,true
protomalayopolynesian,Proto-Malayo-Polynesian,mala1545,Malayo-Polynesian,,,6.186509507000039,124.24577884200005,,PMP,,blust1980;blust198384;blust1986;blust1989,true
protooceanic,Proto-Oceanic,ocea1241,Oceanic,,,-7.59343840899993,158.75171959700003,,POc,,ross1988;blust1970;blust1978,true
preprotooceanic,Pre-Proto-Oceanic,ocea1241,,,,-7.59343840899993,158.75171959700003,,Pre POc,,,true
protowillaumez,Proto-Willaumez,will1243,Willaumez linkage,,,-5.472179224730346,150.56670596620697,,PWm,Western Oceanic linkage,goodenough1997,true
protomicronesian,Proto-Micronesian,micr1243,Micronesian,,,5.599310614000046,168.10108483200008,,PMc,,benderetal1984;benderandwang1985;jackson1983;marck1991;marck1994,true
preprotomicronesian,Pre-Proto-Micronesian,micr1243,,,,5.599310614000046,168.10108483200008,,Pre-PMc,,,true
protowesternmicronesian,Proto-Western Micronesian,west2844,Western Micronesian,,,6.965277411000045,158.27662194100003,,PWMc,Micronesian,jackson1983;marck1994,true
protopolynesian,Proto-Polynesian,poly1242,Polynesian,,,-16.676853122999944,177.56072024800005,,PPn,Central Pacific linkage,walshandbiggs1966;biggswalshandwaqa1970,true
protoaustronesian,Proto-Austronesian,aust1307,Austronesian,,,18.021904113884965,122.05700483729152,,PAn,,blust1980;blust198384;blust1986;blust1989,true
uraustronesisch,Uraustronesisch,aust1307,Austronesian,,,18.021904113884965,122.05700483729152,,UAn,,dempwolff1938;dyen1951;dyen1953,true
protocentralmicronesian,Proto-Central Micronesian,cent2276,Central Micronesian,,,4.573797919000071,168.68539472700002,,PCMc,Micronesian,jackson1983;marck1994,true
protopohnpeicchuukic,Proto-Pohnpeic-Chuukic,pona1247,Chuukic-Ponapeic,,,7.38117096600007,149.18083743600005,,PPC,Micronesian,,true
protopohnpeic,Proto-Pohnpeic,pona1248,Ponapeic,,,6.869086005000042,158.33863366000003,,PPon,Micronesian,,true
protoeasternoceanic,Proto-Eastern Oceanic,,,,,,,,PEO,,geraghty1983;geraghty1990,true
protonakanai,Proto-Nakanai,naka1266,,,,-5.286995,151.208,,PNk,Western Oceanic linkage,goodenough1997,true
protokimbe,Proto-Kimbe,,,,,,,,PKb,,goodenough1997,true
protolakalai,Proto-Lakalai,naka1266,,,,-5.286995,151.208,,PLk,Western Oceanic linkage,goodenough1997,true
protowesternmalayopolynesian,Proto-Western-Malayo-Polynesian,,,,,,,,PWMP,,,true
areare,'Āre'āre,area1240,'Are'are,alu,,-9.20699,161.158,,Are,Southeast Solomonic,geerts1970,false
arosi,Arosi,aros1241,Arosi,aia,,-10.2441,161.432,,Aro,Southeast Solomonic,fox1970,false
bugotu,Bugotu,bugh1239,Bughotu,bgt,,-8.47948,159.802,,Bug,Southeast Solomonic,ivens1940,false
chamorro,Chamorro,cham1312,Chamorro,cha,,13.438011,144.74474,,Chm,,toppingogoanddungca1975,false
chuukese,Chuukese,chuu1238,Chuukese,chk,,7.346993,151.598607,,Chk,Micronesian,goodenough1963;goodenough1992;goodenoughandsugita1980;goodenoughandsugita1990,false
fijian,Fijian,fiji1243,Fijian,fij,,-18.0,178.33,,Fij,Central Pacific linkage,capell1957;geraghty1983,false
gilbertese,Gilbertese,gilb1244,Gilbertese,gil,,0.179,173.64,,Kir,Micronesian,bingham1908,false
jabem,Jabêm,yabe1254,Yabem,jae,,-6.67052,147.81,,Jab,Western Oceanic linkage,,false
kosraean,Kosraean,kosr1238,Kosraean,kos,,5.31,162.98,,Ksr,Micronesian,lee1976,false
kwaio,Kwaio,kwai1243,Kwaio,kwd,,-8.93744,160.965,,Kwa,Southeast Solomonic,keesing1975,false
lakalai,Lakalai,naka1262,Nakanai,nak,,-5.59931,150.888,,Lak,Western Oceanic linkage,chowningandgoodenoughnd,false
