ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Abbr,Group,Source,Is_Proto
lau,Lau,lauu1247,Lau,llu,,-8.51018,160.872,,Lau,Southeast Solomonic,fox1974,false
marshallese,Marshallese,mars1254,Marshallese,mah,,8.72,167.73,,Mrs,Micronesian,aboetal1976,false
mokilese,Mokilese,moki1238,Mokilese,mkj,,6.65651,159.776,,Mok,Micronesian,harrisonandalbert1977,false
mortlockese,Mortlockese,mort1237,Mortlockese,mrl,,5.50735,153.710778,,Mrt,Micronesian,benderetal1984,false
nggela,Nggela,gela1263,Gela,nlg,,-9.04587,160.186,,Ngg,Southeast Solomonic,fox1955,false
ngatchikese,Ngatchikese,sapw1237,,,,5.78928,157.15965,,Ngk,Micronesian,benderetal1984,false
oldmapian,Old Mapian,mapi1250,Mapia,mpy,,0.908889,134.304722,,Map,Micronesian,kubary1889,false
palauan,Palauan,pala1344,Palauan,pau,,7.34138,134.476678,,Pal,,,false
pingilapese,Pingilapese,ping1243,Pingelapese,pif,,6.20743,160.711,,Png,Micronesian,benderetal1984,false
pohnpeian,Pohnpeian,pohn1238,Pohnpeian,pon,,6.87212,158.223,,Pon,Micronesian,rehgandsohl1979;sohlrehgandandreasnd,false
puloannan,Pulo-Annan,pulo1240,Pulo Anna,,,5.328596,132.221282,,PuA,Micronesian,oda1977,false
puluwatese,Puluwatese,pulu1242,Puluwatese,puw,,7.35695,149.2005,,Pul,Micronesian,elbert1972,false
rotuman,Rotuman,rotu1241,Rotuman,rtm,,-12.5008,177.066,,Rot,Central Pacific linkage,churchward1940,false
roviana,Roviana,rovi1238,Roviana,rug,,-8.20493,157.408,,Rov,Western Oceanic linkage,,false
saa,Sa’a,saaa1240,Sa'a,apb,,-9.60258,161.467,,Saa,Southeast Solomonic,ivens1918,false
saipancarolinian,Saipan Carolinian,caro1242,Carolinian,cal,,15.205,145.765,,Crl,Micronesian,jacksonandmarck1991,false
saipancaroliniant,Saipan Carolinian·T,tana1281,Tanapag,tpv,,15.237,145.757,,Crn,Micronesian,jacksonandmarck1991,false
samoan,Samoan,samo1305,Samoan,smo,,-13.92,-171.83,,Sam,Central Pacific linkage,milner1966,false
satawalese,Satawalese,sata1237,Satawalese,stw,,7.36084,147.038,,Stw,Micronesian,benderetal1984,false
sonsorolese,Sonsorolese,sons1243,Sonsorolese,,,5.328596,132.221282,,Sns,Micronesian,benderetal1984;oda1977,false
tagalog,Tagalog,taga1270,Tagalog,tgl,,14.06,121.747,,Tag,,,false
tobi,Tobi,tobi1238,Tobian,tox,,3.004528,131.171295,,Tob,Micronesian,kubary1889,false
tokelau,Tokelau,toke1240,Tokelau,tkl,,-9.227642,-171.780833,,Tok,Central Pacific linkage,benderetal1984,false
tongan,Tongan,tong1325,Tonga (Tonga Islands),ton,,-21.17,-175.25,,Ton,Central Pacific linkage,churchward1959,false
ulawan,Ulawan,saaa1240,,,,-9.60258,161.467,,Ula,Southeast Solomonic,ivens1918,false
ulithian,Ulithian,ulit1238,Ulithian,uli,,9.961388,139.603611,,Uli,Micronesian,benderetal1984,false
woleaian,Woleaian,wole1240,Woleaian,woe,,7.37957,143.916,,Wol,Micronesian,sohnandtawerilmang1976,false
yapese,Yapese,yape1248,Yapese,yap,,9.55811,138.125,,Yap,Yapesic,jensen1977,false
gedaged,Gedaged,geda1237,Gedaged,,,-5.18175,145.781,,,Western Oceanic linkage,,false
nguna,Nguna,ngun1274,Nguna,,,-17.5774,168.375,,,North and Central Vanuatu,,false
