ID,Cfset_ID,Form_ID,Comment,Source
2976-1-1,2976-1,fijian-thing-1,,
2976-1-2,2976-1,uraustronesisch-possession-1,,
2978-1-1,2978-1,protooceanic-movecreepflowspill-1,,ross1988
2978-1-2,2978-1,kwaio-shallowswimclosetothesurface-1,,
2978-1-3,2978-1,kwaio-arriveataplacewashup-1,,
2979-1-1,2979-1,gilbertese-whowhichthatyonder-1,,
2982-1-1,2982-1,kosraean-carryontheshoulder-1,,
2982-1-2,2982-1,kosraean-carrysomethingontheshoulderswithapole-1,,
2982-1-3,2982-1,arosi-carryunderthearm-1,,
2983-1-1,2983-1,gilbertese-swim-1,,
2983-1-2,2983-1,samoan-swim-1,,
2986-1-1,2986-1,marshallese-carrytuckedunderonearm-1,,
2986-1-2,2986-1,bugotu-carryunderthearm-1,,
2986-2-1,2986-2,protoeasternoceanic-armpit-1,,
2985-1-1,2985-1,marshallese-towasaboatpulldraw-1,,
2985-1-2,2985-1,marshallese-towsomething-1,,
2985-1-3,2985-1,gilbertese-totow-1,,
2985-1-4,2985-1,gilbertese-totowdragsomething-1,,
2985-1-5,2985-1,gilbertese-atowing-1,,
2991-1-1,2991-1,marshallese-steerdirectlyfor-1,,
2992-1-1,2992-1,protoeasternoceanic-path-1,,geraghty1983
2992-1-2,2992-1,protooceanic-path-1,,ross1988
2992-1-3,2992-1,fijian-pathroad-1,,
2992-1-4,2992-1,protopolynesian-pathroad-1,,pollex[hala]
2992-1-5,2992-1,saa-pathroad-1,,
2992-1-6,2992-1,bugotu-away-1,,
2992-1-7,2992-1,lau-waypath-1,,
2992-1-8,2992-1,arosi-pathroad-1,,
2992-1-9,2992-1,kwaio-pathroad-1,,
2992-1-10,2992-1,protokimbe-pathroad-1,,
2992-1-11,2992-1,protoaustronesian-pathroad-1,,
2993-1-1,2993-1,marshallese-provisionsstorehouse-1,,
2993-1-2,2993-1,marshallese-fishcaughtbyencircling-1,,
2994-1-1,2994-1,pohnpeian-longtall-1,,
2994-1-2,2994-1,kosraean-longtall-1,,
2994-1-3,2994-1,kosraean-verylongortall-1,,
2996-1-1,2996-1,fijian-dirge-1,,
2996-1-2,2996-1,arosi-callonaghost-1,,
2996-1-3,2996-1,kwaio-makerustlingnoises-1,,
2996-2-1,2996-2,bugotu-tosingasong-1,,
2996-2-2,2996-2,bugotu-tosingsomething-1,,
2997-1-1,2997-1,saa-tosurround-1,,
2997-1-2,2997-1,saa-around-1,,
2997-1-3,2997-1,lau-roundaround-1,,
2997-1-4,2997-1,kwaio-circleroundaround-1,,
3001-1-1,3001-1,lau-toprepareclearapathsweep-1,,
3002-1-1,3002-1,kosraean-rawuncooked-1,,
3002-2-1,3002-2,protooceanic-undercookedraw-1,,ross1988
3002-2-2,3002-2,protopolynesian-undercookedraw-1,,pollex[mata.2]
3002-2-3,3002-2,kwaio-undercookedraw-1,,
3002-2-4,3002-2,uraustronesisch-undercookedraw-1,,
3003-1-1,3003-1,fijian-usefulvaluablenecessary-1,,
3007-1-1,3007-1,uraustronesisch-godspirit-2,,
3007-1-2,3007-1,protopolynesian-godspirit-1,,pollex[qaitu]
3008-1-1,3008-1,uraustronesisch-island-1,,
3012-1-1,3012-1,lakalai-yellowfacepaint-1,,
3012-2-1,3012-2,saa-yellow-1,,
3012-2-2,3012-2,saa-wildginger-1,,
3012-2-3,3012-2,kwaio-atreewithsweetsmellingyellowflowers-1,,
3013-1-1,3013-1,protoeasternoceanic-fence-1,,geraghty1990
3017-1-1,3017-1,marshallese-coconutmilk-1,,
3017-1-2,3017-1,kosraean-coconutmilk-1,,
3018-1-1,3018-1,bugotu-adugchannel-1,,
3020-1-1,3020-1,kosraean-akindoffish-4,,
3020-1-2,3020-1,tongan-ashark-1,,
3021-1-1,3021-1,mokilese-todismantleanearthoven-2,,
3021-1-2,3021-1,mokilese-todismantleanearthoven-1,,
3022-1-1,3022-1,protoeasternoceanic-gallbladdergall-1,,
3022-1-2,3022-1,tongan-gallbladder-1,,
3022-1-3,3022-1,nggela-gallbladder-1,,
3022-1-4,3022-1,arosi-beangry-1,,
3022-1-5,3022-1,arosi-bellyheartmind-1,,
3026-1-1,3026-1,gilbertese-customwaymanner-1,,
3027-1-1,3027-1,kwaio-smoke-1,,
3029-1-1,3029-1,saa-riseupclearofthemoon-1,,
3044-1-1,3044-1,gilbertese-tospreadaboutasanodor-1,,
3047-1-1,3047-1,saa-forehead-1,,
3047-1-2,3047-1,lau-forehead-1,,
3047-1-3,3047-1,arosi-forehead-1,,
3047-1-4,3047-1,kwaio-forehead-1,,
3047-2-1,3047-2,protooceanic-forehead-1,,ross1988
3048-1-1,3048-1,fijian-tolaplick-1,,
3049-1-1,3049-1,kwaio-freshwater-1,,
3050-1-1,3050-1,saa-toriseofthemoon-1,,
3052-1-1,3052-1,yapese-memberof-1,,
3052-2-1,3052-2,protoeasternoceanic-matepartner-1,,geraghty1983
3052-2-2,3052-2,protopolynesian-friend-1,,pollex[soa]
3052-2-3,3052-2,arosi-friend-1,,
3054-1-1,3054-1,kosraean-trunkof-1,,
3056-1-1,3056-1,marshallese-widebroad-1,,
3056-1-2,3056-1,protokimbe-far-1,,
