Description,Name,KSR,KSR Gloss
mouth,*awa1,oalɨ-(k),my m. 
bird's nest fern,"*caú-ni-lúkú, lúkú",(mʌ)-lɨklɨk,a kind of plant
kind of lizard,*kúaili,kɨnʌul,
"twisted, entwined","*pini, pinipini","pɨrak, pɨraki","braid, plait; to braid, plait (s.t.)"
to steal,*pirafa,"pɨsrapasr, pɨsre","to s., to s. (s.t.)"
tangled,"*ffi, fiffi",pɨp,"tangled, matted"
belch,*kú[ln]arú,kɨrar,(a loan?)
shiny,"*miTi, mmiTi",mɨs,"calm, peaceful, tranquil, quiet"
to steal,*mʷacoko,"mæsrɨk, mæsrɨki","sneak, move stealthily; catch or acquire (s.t.) stealthily"
"flap noiselessly, butterfly","*pʷekipʷeki, li-pʷekipʷeki",pɨkpɨk,"flutter, flap (wings) rapidly"
,L44,tɨpi-s,bad ugly
,L67,kɨrak,kind of tree
,L79,kɨsrik,"cat, mouse, rat"
, ,,
