Grapheme	IPA	Frequence	Codepoints
a	a	198	U+0061
i	i	93	U+0069
r	r	91	U+0072
u	u	84	U+0075
o	o	65	U+006f
h	h	52	U+0068
s	s	45	U+0073
-	NULL	34	U+002d
e	e	33	U+0065
t	t	32	U+0074
b	b	30	U+0062
n	n	24	U+006e
m	m	23	U+006d
ŋ	ŋ	22	U+014b
w	w	19	U+0077
d	d	9	U+0064
'i	i	8	U+0027 U+0069
'a	a	7	U+0027 U+0061
'o	o	7	U+0027 U+006f
'u	u	7	U+0027 U+0075
k	k	7	U+006b
pʷ	pʷ	7	U+0070 U+02b7
g	g	6	U+0067
aa	aa	6	U+0061 U+0061
uu	uu	6	U+0075 U+0075
bʷ	bʷ	5	U+0062 U+02b7
oo	oo	4	U+006f U+006f
mʷ	mʷ	3	U+006d U+02b7
_	_	2	U+005f
bw	bw	2	U+0062 U+0077
’	<?>	2	U+2019
'a'aira-[‘a]	<???>	1	U+0027 U+0061 U+0027 U+0061 U+0069 U+0072 U+0061 U+002d U+005b U+2018 U+0061 U+005d
[ato]-aa	<???>	1	U+005b U+0061 U+0074 U+006f U+005d U+002d U+0061 U+0061
[ha'a]-tau	<???>	1	U+005b U+0068 U+0061 U+0027 U+0061 U+005d U+002d U+0074 U+0061 U+0075
[ha]-ŋa-rau	<???>	1	U+005b U+0068 U+0061 U+005d U+002d U+014b U+0061 U+002d U+0072 U+0061 U+0075
[hau]-bia	<???>	1	U+005b U+0068 U+0061 U+0075 U+005d U+002d U+0062 U+0069 U+0061
[i]-'ano	<???>	1	U+005b U+0069 U+005d U+002d U+0027 U+0061 U+006e U+006f
[ta]-ŋaa	<???>	1	U+005b U+0074 U+0061 U+005d U+002d U+014b U+0061 U+0061
asu-[na]	<???>	1	U+0061 U+0073 U+0075 U+002d U+005b U+006e U+0061 U+005d
au-[henua]	<???>	1	U+0061 U+0075 U+002d U+005b U+0068 U+0065 U+006e U+0075 U+0061 U+005d
.	NULL	1	U+002e
hu'o-[rodo]	<???>	1	U+0068 U+0075 U+0027 U+006f U+002d U+005b U+0072 U+006f U+0064 U+006f U+005d
ina-[na]	<???>	1	U+0069 U+006e U+0061 U+002d U+005b U+006e U+0061 U+005d
rere-[bʷeru]	<???>	1	U+0072 U+0065 U+0072 U+0065 U+002d U+005b U+0062 U+02b7 U+0065 U+0072 U+0075 U+005d
'e	e	1	U+0027 U+0065
tara [na]	<???>	1	U+0074 U+0061 U+0072 U+0061 U+0020 U+005b U+006e U+0061 U+005d
u'i-[ŋa'i]	<???>	1	U+0075 U+0027 U+0069 U+002d U+005b U+014b U+0061 U+0027 U+0069 U+005d
‘	<?>	1	U+2018
'u'u	'u'u	1	U+0027 U+0075 U+0027 U+0075
