Grapheme	IPA	Frequence	Codepoints
p	p	275	U+0070
pʷ	pʷ	92	U+0070 U+02b7
pw	pʷ	35	U+0070 U+0077
t	tʂ	140	U+0074
d	t	231	U+0064
k	k	354	U+006b
s	s	188	U+0073
m	m	133	U+006d
mm	mm		
mʷ	mʷ	54	U+006d U+02b7
mw	mʷ	30	U+006d U+0077
mʷmʷ	mʷmʷ	1	U+006d U+02b7 U+006d U+02b7
n	n	178	U+006e
nn	nn		
ŋ	ŋ	137	U+014b
ŋŋ	ŋŋ		
r	r	245	U+0072
rr	rr		
l	l	270	U+006c
ll	ll	3	U+006c U+006c
y	y	118	U+0079
w	w	163	U+0077
a	a	419	U+0061
aa	aː	113	U+0061 U+0061
ɛ	ɛ	386	U+025b
ɛɛ	ɛː	53	U+025b U+025b
e	e	97	U+0065
ee	eː	18	U+0065 U+0065
i	i	467	U+0069
ii	iː	84	U+0069 U+0069
ɔ	ɔ	35	U+0254
ɔɔ	ɔː	15	U+0254 U+0254
o	o	166	U+006f
oo	oː	34	U+006f U+006f
u	u	92	U+0075
uu	uː	36	U+0075 U+0075
<	<?>	2	U+003c
*	<?>	2	U+002a
Ø	∅	1	U+00d8
?	<?>	1	U+003f
.	NULL	1	U+002e
-	NULL	400	U+002d
_	_	22	U+005f
