Grapheme	IPA	Frequence	Codepoints
p	p	49	U+0070
pp	pp	4	U+0070 U+0070
bʷ	bʷ	27	U+0062 U+02b7
bw	bʷ	17	U+0062 U+0077
pwpw	pʷpʷ	1	U+0070 U+0077 U+0070 U+0077
pʷpʷ	pʷpʷ	2	U+0070 U+02b7 U+0070 U+02b7
t	t	73	U+0074
tt	tt	9	U+0074 U+0074
ch	tʂ	8	U+0063 U+0068
tch	tʂ		
chch	tʂtʂ	1	U+0063 U+0068 U+0063 U+0068
g	g	183	U+0067
kk	kk	17	U+006b U+006b
f	f	45	U+0066
ff	ff	2	U+0066 U+0066
s	s	7	U+0073
ss	ss	5	U+0073 U+0073
h	h	115	U+0068
m	m	61	U+006d
mm	mm	4	U+006d U+006d
mʷmʷ	mʷmʷ	3	U+006d U+02b7 U+006d U+02b7
mw	mʷ	23	U+006d U+0077
mʷ	mʷ	10	U+006d U+02b7
mwmw	mʷmʷ	1	U+006d U+0077 U+006d U+0077
n	n	131	U+006e
nn	nn	13	U+006e U+006e
ŋ	ŋ	45	U+014b
ŋŋ	ŋŋ	2	U+014b U+014b
l	l	85	U+006c
ll	ll	16	U+006c U+006c
r	r	69	U+0072
R	ɻ	108	U+0052
y	y	73	U+0079
w	w	48	U+0077
a	a	247	U+0061
aa	aː	34	U+0061 U+0061
e	e	121	U+0065
ee	eː	20	U+0065 U+0065
i	i	187	U+0069
ii	iː	27	U+0069 U+0069
o	o	73	U+006f
u	u	80	U+0075
oo	oː	20	U+006f U+006f
uu	uː	11	U+0075 U+0075
á	æ	17	U+00e1
áá	æː	19	U+00e1 U+00e1
é	ə	36	U+00e9
éé	əː	13	U+00e9 U+00e9
ó	ɔ	27	U+00f3
óó	ɔː	14	U+00f3 U+00f3
ú	ɨ	74	U+00fa
úú	ɨː	12	U+00fa U+00fa
_	_	4	U+005f
#	_	3	U+0023
?	<?>	1	U+003f
.	NULL	1	U+002e
-	NULL	223	U+002d
