Grapheme	IPA	Frequence	Codepoints
p	p	17	U+0070
b	b	18	U+0062
t	t	47	U+0074
d	d	11	U+0064
k	k	16	U+006b
f	f	7	U+0066
v	v	28	U+0076
g	g	49	U+0067
s	s	12	U+0073
th	θ	21	U+0074 U+0068
ch	c	2	U+0063 U+0068
j	j	15	U+006a
h	h	44	U+0068
m	m	39	U+006d
n	n	29	U+006e
ŋ	ŋ	24	U+014b
l	l	47	U+006c
r	r	43	U+0072
a	a	188	U+0061
e	e	33	U+0065
i	i	119	U+0069
o	o	74	U+006f
u	u	120	U+0075
aa	aː	5	U+0061 U+0061
ee	eː		
ii	iː	3	U+0069 U+0069
oo	oː	1	U+006f U+006f
uu	uː	10	U+0075 U+0075
-	NULL	47	U+002d
_	_	5	U+005f
