Grapheme	IPA	Frequence	Codepoints
b	b	105	U+0062
bʷ	bʷ	99	U+0062 U+02b7
bw	bʷ	19	U+0062 U+0077
t	t	278	U+0074
k	k	309	U+006b
m	m	131	U+006d
mm	mm	1	U+006d U+006d
mʷ	mʷ	61	U+006d U+02b7
mw	mʷ	10	U+006d U+0077
n	n	309	U+006e
nn	nn	15	U+006e U+006e
ŋ	ŋ	149	U+014b
r	r	332	U+0072
w	w	49	U+0077
a	a	1068	U+0061
aa	aː	111	U+0061 U+0061
e	e	253	U+0065
ee	eː	10	U+0065 U+0065
i	i	512	U+0069
ii	iː	34	U+0069 U+0069
o	o	284	U+006f
oo	oː	28	U+006f U+006f
u	u	245	U+0075
uu	uː	26	U+0075 U+0075
*	<?>	8	U+002a
<	<?>	7	U+003c
.	NULL	6	U+002e
?	<?>	4	U+003f
#	_	1	U+0023
-	NULL	456	U+002d
_	_	20	U+005f
