Grapheme	IPA	Frequence	Codepoints
b	ᵐb	39	U+0062
t	t	64	U+0074
d	ⁿd	44	U+0064
dr	ᶯɖr		
k	k	79	U+006b
q	ᵑg	8	U+0071
v	β	62	U+0076
s	s	51	U+0073
c	ð	61	U+0063
j	tʃ		
m	m	49	U+006d
n	n	42	U+006e
g	ŋ	41	U+0067
ŋ	ŋ	3	U+014b
l	l	61	U+006c
r	r	42	U+0072
y	y	22	U+0079
w	w	19	U+0077
a	a	327	U+0061
e	e	38	U+0065
i	i	131	U+0069
o	o	93	U+006f
u	u	147	U+0075
aa	aː	14	U+0061 U+0061
ee	eː	2	U+0065 U+0065
ii	iː	2	U+0069 U+0069
oo	oː	6	U+006f U+006f
uu	uː	7	U+0075 U+0075
-	NULL	41	U+002d
_	_	3	U+005f
