Grapheme	IPA	Frequence	Codepoints
a	a	105	U+0061
l	l	63	U+006c
u	u	56	U+0075
i	i	52	U+0069
o	o	52	U+006f
-	NULL	34	U+002d
m	m	29	U+006d
t	t	26	U+0074
g	g	19	U+0067
v	v	17	U+0076
k	k	16	U+006b
h	h	16	U+0068
s	s	15	U+0073
r	r	15	U+0072
e	e	11	U+0065
p	p	6	U+0070
_	_	4	U+005f
uu	uu	4	U+0075 U+0075
d	d	3	U+0064
b	b	3	U+0062
-ga-[tou]	<???>	1	U+002d U+0067 U+0061 U+002d U+005b U+0074 U+006f U+0075 U+005d
[e]-gere	<???>	1	U+005b U+0065 U+005d U+002d U+0067 U+0065 U+0072 U+0065
[e]-luso	<???>	1	U+005b U+0065 U+005d U+002d U+006c U+0075 U+0073 U+006f
[e]-re	<???>	1	U+005b U+0065 U+005d U+002d U+0072 U+0065
[e]-toa	<???>	1	U+005b U+0065 U+005d U+002d U+0074 U+006f U+0061
[e]-tululu	<???>	1	U+005b U+0065 U+005d U+002d U+0074 U+0075 U+006c U+0075 U+006c U+0075
[gu]-liliki	<???>	1	U+005b U+0067 U+0075 U+005d U+002d U+006c U+0069 U+006c U+0069 U+006b U+0069
[hata]-male	<???>	1	U+005b U+0068 U+0061 U+0074 U+0061 U+005d U+002d U+006d U+0061 U+006c U+0065
[la-ulu e]-mala	<???>	1	U+005b U+006c U+0061 U+002d U+0075 U+006c U+0075 U+0020 U+0065 U+005d U+002d U+006d U+0061 U+006c U+0061
[la]-gere	<???>	1	U+005b U+006c U+0061 U+005d U+002d U+0067 U+0065 U+0072 U+0065
[la]-livo-[la]	<???>	1	U+005b U+006c U+0061 U+005d U+002d U+006c U+0069 U+0076 U+006f U+002d U+005b U+006c U+0061 U+005d
[ma]-gigi	<???>	1	U+005b U+006d U+0061 U+005d U+002d U+0067 U+0069 U+0067 U+0069
ami-[teu]	<???>	1	U+0061 U+006d U+0069 U+002d U+005b U+0074 U+0065 U+0075 U+005d
mamara-[ti]	<???>	1	U+006d U+0061 U+006d U+0061 U+0072 U+0061 U+002d U+005b U+0074 U+0069 U+005d
mata-[guruguru]	<???>	1	U+006d U+0061 U+0074 U+0061 U+002d U+005b U+0067 U+0075 U+0072 U+0075 U+0067 U+0075 U+0072 U+0075 U+005d
pai-[le-kova]	<???>	1	U+0070 U+0061 U+0069 U+002d U+005b U+006c U+0065 U+002d U+006b U+006f U+0076 U+0061 U+005d
pu-[su]	<???>	1	U+0070 U+0075 U+002d U+005b U+0073 U+0075 U+005d
oo	oo	1	U+006f U+006f
tali [la-sulabe]	<???>	1	U+0074 U+0061 U+006c U+0069 U+0020 U+005b U+006c U+0061 U+002d U+0073 U+0075 U+006c U+0061 U+0062 U+0065 U+005d
tura-[kakavo]	<???>	1	U+0074 U+0075 U+0072 U+0061 U+002d U+005b U+006b U+0061 U+006b U+0061 U+0076 U+006f U+005d
vi-[lapu]	<???>	1	U+0076 U+0069 U+002d U+005b U+006c U+0061 U+0070 U+0075 U+005d
[la]-haga-[la-male]	<???>	1	U+005b U+006c U+0061 U+005d U+002d U+0068 U+0061 U+0067 U+0061 U+002d U+005b U+006c U+0061 U+002d U+006d U+0061 U+006c U+0065 U+005d
