Grapheme	IPA	Frequence	Codepoints
a	a	53	U+0061
u	u	40	U+0075
i	i	25	U+0069
e	e	21	U+0065
p	p	21	U+0070
k	k	19	U+006b
b	b	19	U+0062
t	t	17	U+0074
q	q	15	U+0071
ŋ	ŋ	15	U+014b
l	l	13	U+006c
R	<?>	13	U+0052
m	m	12	U+006d
n	n	12	U+006e
*	<?>	9	U+002a
s	s	8	U+0073
w	w	5	U+0077
c	c	5	U+0063
N	<?>	5	U+004e
d	d	4	U+0064
r	r	4	U+0072
-	NULL	2	U+002d
_	_	2	U+005f
o	o	2	U+006f
z	z	2	U+007a
Za[hØ]uq	<???>	1	U+005a U+0061 U+005b U+0068 U+00d8 U+005d U+0075 U+0071
h	h	1	U+0068
?	<?>	1	U+003f
T	<?>	1	U+0054
j	j	1	U+006a
ñ	ɲ	1	U+00f1
