Grapheme	IPA	Frequence	Codepoints
p	p	87	U+0070
pp	pp	10	U+0070 U+0070
pw	βʷ	37	U+0070 U+0077
pʷ	βʷ	55	U+0070 U+02b7
bʷ	βʷ	1	U+0062 U+02b7
pwpw	pʷpʷ	3	U+0070 U+0077 U+0070 U+0077
pʷpʷ	pʷpʷ	2	U+0070 U+02b7 U+0070 U+02b7
t	t	231	U+0074
tt	tt	9	U+0074 U+0074
k	x	240	U+006b
kk	kk	12	U+006b U+006b
d	ð	224	U+0064
dd	ðð	3	U+0064 U+0064
s	s	95	U+0073
ss	ss	3	U+0073 U+0073
m	m	104	U+006d
mm	mm	9	U+006d U+006d
mʷ	mʷ	24	U+006d U+02b7
mw	mʷ	14	U+006d U+0077
mʷmʷ	mʷmʷ	1	U+006d U+02b7 U+006d U+02b7
n	ɾ	249	U+006e
nn	nn	17	U+006e U+006e
ŋ	ŋ	103	U+014b
ŋŋ	ŋŋ	2	U+014b U+014b
l	l	138	U+006c
r	r	3	U+0072
w	w	56	U+0077
y	y	53	U+0079
a	a	707	U+0061
aa	aː	106	U+0061 U+0061
e	e	174	U+0065
ee	eː	10	U+0065 U+0065
i	i	399	U+0069
ii	iː	34	U+0069 U+0069
o	o	197	U+006f
oo	oː	16	U+006f U+006f
u	u	103	U+0075
uu	uː	14	U+0075 U+0075
é	ə	11	U+00e9
éé	əː	7	U+00e9 U+00e9
ú	ɨ	257	U+00fa
úú	ɨː	23	U+00fa U+00fa
#	_	1	U+0023
?	<?>	3	U+003f
.	NULL	4	U+002e
_	_	10	U+005f
-	NULL	271	U+002d
