Grapheme	IPA	Frequence	Codepoints
-	NULL	1637	U+002d
n	n	1225	U+006e
i	i	1053	U+0069
e	e	774	U+0065
a	a	690	U+0061
w	w	599	U+0077
t	t	514	U+0074
r	r	506	U+0072
s	s	468	U+0073
k	k	408	U+006b
ú	ú	385	U+00fa
y	y	356	U+0079
u	u	352	U+0075
p	p	310	U+0070
ch	ch	304	U+0063 U+0068
o	o	301	U+006f
f	f	291	U+0066
m	m	288	U+006d
é	é	286	U+00e9
ŋ	ŋ	253	U+014b
ó	ó	207	U+00f3
á	á	193	U+00e1
aa	aa	184	U+0061 U+0061
ii	ii	169	U+0069 U+0069
ee	ee	156	U+0065 U+0065
áá	áá	131	U+00e1 U+00e1
pʷ	pʷ	126	U+0070 U+02b7
pw	pw	126	U+0070 U+0077
mw	mw	117	U+006d U+0077
úú	úú	112	U+00fa U+00fa
oo	oo	99	U+006f U+006f
kk	kk	82	U+006b U+006b
éé	éé	82	U+00e9 U+00e9
uu	uu	80	U+0075 U+0075
mʷ	mʷ	77	U+006d U+02b7
nn	nn	74	U+006e U+006e
tt	tt	69	U+0074 U+0074
óó	óó	67	U+00f3 U+00f3
éw	éw	60	U+00e9 U+0077
_	_	55	U+005f
ff	ff	42	U+0066 U+0066
pp	pp	38	U+0070 U+0070
chch	chch	35	U+0063 U+0068 U+0063 U+0068
#	_	31	U+0023
ss	ss	30	U+0073 U+0073
mm	mm	29	U+006d U+006d
pwpw	pwpw	18	U+0070 U+0077 U+0070 U+0077
ŋŋ	ŋŋ	16	U+014b U+014b
pʷpʷ	pʷpʷ	14	U+0070 U+02b7 U+0070 U+02b7
mwmw	mwmw	11	U+006d U+0077 U+006d U+0077
mʷmʷ	mʷmʷ	10	U+006d U+02b7 U+006d U+02b7
és	és	9	U+00e9 U+0073
<	<?>	6	U+003c
*	<?>	6	U+002a
ós	ós	5	U+00f3 U+0073
ów	ów	5	U+00f3 U+0077
l	l	4	U+006c
#s	_s	3	U+0023 U+0073
#w	_w	2	U+0023 U+0077
g	g	2	U+0067
?	<?>	2	U+003f
’	<?>	2	U+2019
b	b	2	U+0062
P	<?>	2	U+0050
R	<?>	2	U+0052
nike, nika, niko-ppich	<???>	1	U+006e U+0069 U+006b U+0065 U+002c U+0020 U+006e U+0069 U+006b U+0061 U+002c U+0020 U+006e U+0069 U+006b U+006f U+002d U+0070 U+0070 U+0069 U+0063 U+0068
‘	<?>	1	U+2018
v	v	1	U+0076
wúnú-n chuuk, wúnúúne-n chuuk	<???>	1	U+0077 U+00fa U+006e U+00fa U+002d U+006e U+0020 U+0063 U+0068 U+0075 U+0075 U+006b U+002c U+0020 U+0077 U+00fa U+006e U+00fa U+00fa U+006e U+0065 U+002d U+006e U+0020 U+0063 U+0068 U+0075 U+0075 U+006b
ii-[tiw]	<???>	1	U+0069 U+0069 U+002d U+005b U+0074 U+0069 U+0077 U+005d
ii-[to]	<???>	1	U+0069 U+0069 U+002d U+005b U+0074 U+006f U+005d
ii-[tá]	<???>	1	U+0069 U+0069 U+002d U+005b U+0074 U+00e1 U+005d
ls	ls	1	U+006c U+0073
*w	<?>	1	U+002a U+0077
aaa	aaa	1	U+0061 U+0061 U+0061
tw	tw	1	U+0074 U+0077
d	d	1	U+0064
Ø	<?>	1	U+00d8
I	<?>	1	U+0049
.	NULL	1	U+002e
W	<?>	1	U+0057
óss	óss	1	U+00f3 U+0073 U+0073
h	h	1	U+0068
