Grapheme	IPA	Frequence	Codepoints
a	a	181	U+0061
u	u	104	U+0075
i	i	75	U+0069
t	t	65	U+0074
l	l	45	U+006c
q	q	45	U+0071
n	n	43	U+006e
s	s	38	U+0073
k	k	35	U+006b
p	p	33	U+0070
e	e	32	U+0065
m	m	32	U+006d
b	b	32	U+0062
ŋ	ŋ	30	U+014b
R	<?>	30	U+0052
w	w	22	U+0077
y	y	16	U+0079
D	<?>	15	U+0044
h	h	11	U+0068
r	r	11	U+0072
*	<?>	11	U+002a
g	g	9	U+0067
T	<?>	8	U+0054
j	j	7	U+006a
.	NULL	7	U+002e
ñ	ɲ	7	U+00f1
d	d	7	U+0064
c	c	6	U+0063
-	NULL	4	U+002d
z	z	4	U+007a
_	_	4	U+005f
o	o	3	U+006f
*h	<?>	2	U+002a U+0068
[dD]aRaq	<???>	1	U+005b U+0064 U+0044 U+005d U+0061 U+0052 U+0061 U+0071
[dD]anum	<???>	1	U+005b U+0064 U+0044 U+005d U+0061 U+006e U+0075 U+006d
Diki[hq]	<???>	1	U+0044 U+0069 U+006b U+0069 U+005b U+0068 U+0071 U+005d
[dD]uRi	<???>	1	U+005b U+0064 U+0044 U+005d U+0075 U+0052 U+0069
[hØ]ansu	<???>	1	U+005b U+0068 U+00d8 U+005d U+0061 U+006e U+0073 U+0075
[hØ]ajan	<???>	1	U+005b U+0068 U+00d8 U+005d U+0061 U+006a U+0061 U+006e
ge[nØ]tas	<???>	1	U+0067 U+0065 U+005b U+006e U+00d8 U+005d U+0074 U+0061 U+0073
ali[nñ]u	<???>	1	U+0061 U+006c U+0069 U+005b U+006e U+00f1 U+005d U+0075
[tT]akut	<???>	1	U+005b U+0074 U+0054 U+005d U+0061 U+006b U+0075 U+0074
puŋku[rR]	<???>	1	U+0070 U+0075 U+014b U+006b U+0075 U+005b U+0072 U+0052 U+005d
ra[hØ]ut	<???>	1	U+0072 U+0061 U+005b U+0068 U+00d8 U+005d U+0075 U+0074
Za[hØ]uq	<???>	1	U+005a U+0061 U+005b U+0068 U+00d8 U+005d U+0075 U+0071
+	+	1	U+002b
ta[rR]ap	<???>	1	U+0074 U+0061 U+005b U+0072 U+0052 U+005d U+0061 U+0070
[tT]asik	<???>	1	U+005b U+0074 U+0054 U+005d U+0061 U+0073 U+0069 U+006b
[tT]au	<???>	1	U+005b U+0074 U+0054 U+005d U+0061 U+0075
[tT]u[nñ]a	<???>	1	U+005b U+0074 U+0054 U+005d U+0075 U+005b U+006e U+00f1 U+005d U+0061
tu[ñØ]Zuq	<???>	1	U+0074 U+0075 U+005b U+00f1 U+00d8 U+005d U+005a U+0075 U+0071
Z	<?>	1	U+005a
qu[tT]an	<???>	1	U+0071 U+0075 U+005b U+0074 U+0054 U+005d U+0061 U+006e
[qØ]usuŋ	<???>	1	U+005b U+0071 U+00d8 U+005d U+0075 U+0073 U+0075 U+014b
Ch	<?>	1	U+0043 U+0068
aa	aa	1	U+0061 U+0061
waka[rR]	<???>	1	U+0077 U+0061 U+006b U+0061 U+005b U+0072 U+0052 U+005d
*s	<?>	1	U+002a U+0073
*baqu[h]	<???>	1	U+002a U+0062 U+0061 U+0071 U+0075 U+005b U+0068 U+005d
*be[tT]uŋ	<???>	1	U+002a U+0062 U+0065 U+005b U+0074 U+0054 U+005d U+0075 U+014b
