Abbr,Source,Local_ID,ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Latitude,Longitude
Ngk,benderetal1984,20,ngatchikese,Ngatchikese,,,,,
Map,kubary1889,15,oldmapian,Old Mapian,mapi1250,Mapia,mpy,0.908889,134.304722
Pal,,21,palauan,Palauan,pala1344,Palauan,pau,7.34138,134.476678
Png,benderetal1984,31,pingilapese,Pingilapese,ping1243,Pingelapese,pif,6.20743,160.711
Pon,rehgandsohl1979;sohlrehgandandreasnd,33,pohnpeian,Pohnpeian,pohn1238,Pohnpeian,pon,6.87212,158.223
PuA,oda1977,38,puloannan,Pulo-Annan,pulo1240,Pulo Anna,,5.328596,132.221282
Pul,elbert1972,39,puluwatese,Puluwatese,pulu1242,Puluwatese,puw,7.35695,149.2005
Rot,churchward1940,42,rotuman,Rotuman,rotu1241,Rotuman,rtm,-12.5008,177.066
Rov,,43,roviana,Roviana,rovi1238,Roviana,rug,-8.20493,157.408
Saa,ivens1918,44,saa,Sa’a,saaa1240,Sa'a,apb,-9.60258,161.467
Crl,jacksonandmarck1991,6,saipancarolinian,Saipan Carolinian,caro1242,Carolinian,cal,15.205,145.765
Crn,jacksonandmarck1991,7,saipancaroliniant,Saipan Carolinian·T,tana1281,Tanapag,tpv,15.24,145.76
Sam,milner1966,45,samoan,Samoan,samo1305,Samoan,smo,-13.92,-171.83
Stw,benderetal1984,47,satawalese,Satawalese,sata1237,Satawalese,stw,7.36084,147.038
Sns,benderetal1984;oda1977,46,sonsorolese,Sonsorolese,sons1243,Sonsorolese,,5.328596,132.221282
Tag,,48,tagalog,Tagalog,taga1270,Tagalog,tgl,14.06,121.747
Tob,kubary1889,49,tobi,Tobi,tobi1238,Tobian,tox,3.004528,131.171295
Tok,benderetal1984,50,tokelau,Tokelau,toke1240,Tokelau,tkl,-9.227642,-171.780833
Ton,churchward1959,51,tongan,Tongan,tong1325,Tonga (Tonga Islands),ton,-21.17,-175.25
Ula,ivens1918,53,ulawan,Ulawan,,,,,
Uli,benderetal1984,54,ulithian,Ulithian,ulit1238,Ulithian,uli,9.961388,139.603611
Wol,sohnandtawerilmang1976,55,woleaian,Woleaian,wole1240,Woleaian,woe,7.37957,143.916
Yap,jensen1977,56,yapese,Yapese,yape1248,Yapese,yap,9.55811,138.125
,,57,gedaged,Gedaged,geda1237,Gedaged,,-5.18,145.78
,,58,nguna,Nguna,ngun1274,Nguna,,-17.58,168.38
