Abbr,Source,Local_ID,ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Latitude,Longitude
PCk,jackson1983;marck1994,protochuukic,protochuukic,Proto-Chuukic,truk1243,Trukic,,9.412054755000042,138.06812584700003
PMP,blust1980;blust198384;blust1986;blust1989,protomalayopolynesian,protomalayopolynesian,Proto-Malayo-Polynesian,mala1545,Malayo-Polynesian,,6.029445705000057,121.93775475400003
POc,ross1988;blust1970;blust1978,protooceanic,protooceanic,Proto-Oceanic,ocea1241,Oceanic,,-7.59343840899993,158.75171959700003
,,preprotooceanic,preprotooceanic,Pre-Proto-Oceanic,,,,,
PWm,goodenough1997,protowillaumez,protowillaumez,Proto-Willaumez,will1243,Willaumez linkage,,-5.472179224730346,150.56670596620697
PMc,benderetal1984;benderandwang1985;jackson1983;marck1991;marck1994,protomicronesian,protomicronesian,Proto-Micronesian,micr1243,Micronesian,,5.599310614000046,168.10108483200008
,,preprotomicronesian,preprotomicronesian,Pre-Proto-Micronesian,,,,,
PWMc,jackson1983;marck1994,protowesternmicronesian,protowesternmicronesian,Proto-Western Micronesian,west2844,Western Micronesian,,6.965277411000045,158.27662194100003
PPn,walshandbiggs1966;biggswalshandwaqa1970,protopolynesian,protopolynesian,Proto-Polynesian,poly1242,Polynesian,,-16.676853122999944,177.56072024800005
PAn,blust1980;blust198384;blust1986;blust1989,protoaustronesian,protoaustronesian,Proto-Austronesian,aust1307,Austronesian,,18.12555332428153,121.33504738058596
UAn,dempwolff1938;dyen1951;dyen1953,uraustronesisch,uraustronesisch,Uraustronesisch,aust1307,Austronesian,,18.12555332428153,121.33504738058596
PCM,jackson1983;marck1994,protocentralmicronesian,protocentralmicronesian,Proto-Central Micronesian,cent2276,Central Micronesian,,4.573797919000071,168.68539472700002
PPC,,protopohnpeicchuukic,protopohnpeicchuukic,Proto-Pohnpeic-Chuukic,pona1247,Chuukic-Ponapeic,,7.38117096600007,149.18083743600005
PPon,,protopohnpeic,protopohnpeic,Proto-Pohnpeic,pona1248,Ponapeic,,6.869086005000042,158.33863366000003
PEO,geraghty1983;geraghty1990,protoeasternoceanic,protoeasternoceanic,Proto-Eastern Oceanic,,,,,
PNk,goodenough1997,protonakanai,protonakanai,Proto-Nakanai,,,,,
PKb,goodenough1997,protokimbe,protokimbe,Proto-Kimbe,,,,,
PLk,goodenough1997,protolakalai,protolakalai,Proto-Lakalai,,,,,
,,protowesternmalayopolynesian,protowesternmalayopolynesian,Proto-Western-Malayo-Polynesian,,,,,
Are,geerts1970,1,areare,'Āre'āre,area1240,'Are'are,alu,-9.20699,161.158
Aro,fox1970,2,arosi,Arosi,aros1241,Arosi,aia,-10.2441,161.432
Bug,ivens1940,3,bugotu,Bugotu,bugh1239,Bughotu,bgt,-8.47948,159.802
Chm,toppingogoanddungca1975,5,chamorro,Chamorro,cham1312,Chamorro,cha,13.438011,144.74474
Chk,goodenough1963;goodenough1992;goodenoughandsugita1980;goodenoughandsugita1990,4,chuukese,Chuukese,chuu1238,Chuukese,chk,7.346993,151.598607
Fij,capell1957;geraghty1983,8,fijian,Fijian,fiji1243,Fijian,fij,-18.0,178.33
Kir,bingham1908,10,gilbertese,Gilbertese,gilb1244,Gilbertese,gil,0.179,173.64
Jab,,9,jabem,Jabêm,yabe1254,Yabem,jae,-6.67052,147.81
Ksr,lee1976,11,kosraean,Kosraean,kosr1238,Kosraean,kos,5.31,162.98
Kwa,keesing1975,12,kwaio,Kwaio,kwai1243,Kwaio,kwd,-8.93744,160.965
Lak,chowningandgoodenoughnd,13,lakalai,Lakalai,naka1262,Nakanai,nak,-5.59931,150.888
Lau,fox1974,14,lau,Lau,lauu1247,Lau,llu,-8.51018,160.872
Mrs,aboetal1976,17,marshallese,Marshallese,mars1254,Marshallese,mah,8.72,167.73
Mok,harrisonandalbert1977,16,mokilese,Mokilese,moki1238,Mokilese,mkj,6.65651,159.776
Mrt,benderetal1984,18,mortlockese,Mortlockese,mort1237,Mortlockese,mrl,5.50735,153.710778
Ngg,fox1955,19,nggela,Nggela,gela1263,Gela,nlg,-9.04587,160.186
